entity,code,region,id
United Kingdom,UK,UK09,507
United Kingdom,UK,UK11,508
United Kingdom,UK,UK10,509
United Kingdom,UK,UKGBNINE,510
United Kingdom,UK,UK01,511
United Kingdom,UK,UK03,512
United Kingdom,UK,UKGBNIIENB,513
United Kingdom,UK,UK02,514
United Kingdom,UK,UKGBNIIENW,515
United Kingdom,UK,GBNIIENW,516
United Kingdom,,,517
United Kingdom of Great Britain and Northern Ireland,,,518
United Republic of Tanzania,,,519
United States,,,520
United States of America,,,521
Upper middle income,,,522
Uruguay,,,523
USSR,,,524
Uzbekistan,,,525
Vanuatu,,,526
Vatican,,,527
Venezuela,,,528
Venezuela (Bolivarian Republic of),,,529
Viet Nam,,,530
Vietnam,,,531
Virgin Islands (U.S.),,,532
Wake Island,,,533
Wallis and Futuna Islands,,,534
West Bank and Gaza,,,535
Western Africa,,,536
Western Africa (FAO),,,537
Western Asia,,,538
Western Asia (FAO),,,539
Western Europe,,,540
Western Europe (FAO),,,541
Western Sahara,,,542
World,,,543
Yemen,,,544
Yugoslav SFR,,,545
Yugoslavia,,,546
Zambia,,,547
Zimbabwe,,,548
